Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
136,27,1,14,3,Some Random Commen with Id 136
137,27,1,182,3,Some Random Commen with Id 137
138,27,1,68,4,Some Random Commen with Id 138
139,27,1,165,3,Some Random Commen with Id 139
140,27,1,21,3,Some Random Commen with Id 140
141,28,3,105,3,Some Random Commen with Id 141
142,28,3,150,3,Some Random Commen with Id 142
143,28,3,29,6,Some Random Commen with Id 143
144,29,0,85,5,Some Random Commen with Id 144
145,30,8,91,5,Some Random Commen with Id 145
146,31,5,197,0,Some Random Commen with Id 146
147,31,5,51,2,Some Random Commen with Id 147
148,31,5,85,4,Some Random Commen with Id 148
149,31,5,42,2,Some Random Commen with Id 149
150,31,5,58,2,Some Random Commen with Id 150
151,32,6,115,0,Some Random Commen with Id 151
152,32,6,79,4,Some Random Commen with Id 152
153,32,6,12,6,Some Random Commen with Id 153
154,32,6,105,8,Some Random Commen with Id 154
155,32,6,113,3,Some Random Commen with Id 155
156,32,6,40,2,Some Random Commen with Id 156
157,32,6,63,4,Some Random Commen with Id 157
158,33,9,74,4,Some Random Commen with Id 158
159,33,9,141,6,Some Random Commen with Id 159
160,33,9,1,6,Some Random Commen with Id 160
161,33,9,112,1,Some Random Commen with Id 161
162,34,6,31,9,Some Random Commen with Id 162
163,34,6,9,0,Some Random Commen with Id 163
164,34,6,49,4,Some Random Commen with Id 164
165,34,6,164,5,Some Random Commen with Id 165
166,34,6,105,4,Some Random Commen with Id 166
167,34,6,153,3,Some Random Commen with Id 167
168,34,6,1,3,Some Random Commen with Id 168
169,34,6,160,8,Some Random Commen with Id 169
170,34,6,95,3,Some Random Commen with Id 170
171,35,3,184,9,Some Random Commen with Id 171
172,35,3,38,4,Some Random Commen with Id 172
173,35,3,177,2,Some Random Commen with Id 173
174,36,2,53,0,Some Random Commen with Id 174
175,36,2,108,4,Some Random Commen with Id 175
176,36,2,1,6,Some Random Commen with Id 176
177,37,3,155,7,Some Random Commen with Id 177
178,37,3,59,3,Some Random Commen with Id 178
179,38,2,78,6,Some Random Commen with Id 179
180,38,2,20,7,Some Random Commen with Id 180
181,38,2,71,4,Some Random Commen with Id 181
182,38,2,36,9,Some Random Commen with Id 182
183,39,7,24,9,Some Random Commen with Id 183
184,39,7,130,4,Some Random Commen with Id 184
185,39,7,37,9,Some Random Commen with Id 185
